"","judul","rating","review"
"1","gunung legendaris di yogya",5,"ada beberapa cara menikmati keindahan gunung merapi tanpa harus mendakinya bisa melalui beberapa spot di hotel sekitar sleman antara lain di hotel hyaat yang menyediakan tempat foto dengan latar belakang gunung merapi cara lain adalah mengikuti tour gunung merapi ini bisa melihat keindahan gunung lebih dekat apalagi jika udara cerah dan tidak tertutup awan cantik sekali"
"2","Offroad kaliurang",5,"jujur baru pertama kali banget ngerasain offroad kaliurang dengan jeepperjalanan nga luaaat biasa kereentapi sayang pas kesana lokasi bunker kaliadem dan petilasan mbah marijan sedang di tutup karena status merapi yang waspada"
"3","Merapi tak oernah ingkar janji",5,"kuliah dijogja sering naek gunung merapi banyak kenangan yg tertinggal bersama temen temen kuliahdatang kesini untuk liburan bersama anak ke kinahrejo dan bebeng  kaliademrindu rindu pokoknya ngangenin banget"
"4","Wong deso jalan²",4,"perjalanan ini bagaikan sinetron  slalu mangisah kan cerita yang dalam hiduptetap semangat mejalani hidupapapung yang terjadi terjadilah"
"5","Kampung Indian Kediri",4,"pertama berkunjung dibawah kaki gunung kelud kab kediri terdapat kampung yang disebut kampung indian di sana kalian bisa menemukan baju dan identitas suku indian berada dikawasan bukit gunung kelud dengan udara yang sejuk menambah suasana alam yang indah"
"6","GUNUNGE MBAH MARIJAN",4,"jika ingat gunung merapi maka kita pasti akan mengingat almarhum mbah marijan mbah marijan adalah juru kunci gunung merapi yang sampai akhir hayatnya mengabdi kepada sang gunung almarhum ditemukan setelah kejadian letusan di tahun  yang sangat mengguncang yogyakarta dimana abunya sampai mengguyur kota ngayugyokarto hadiningrat kondisi ybs ditemukan dalam posisi bersujud semoga almarhum husnul khatimah ketika berwisata di gunung merapi kami sekeluarga berpetualang dengan mobil jiep untuk off road wisata ini dapat memilih beberapa paket kami mengambil paket shot trip dengan biaya rp ribu ada  obyek yg dikunjungi yaitu  melihat kediaman mbah marijan melihat batu alien mengunjungi semacam museum yg menyimpan memorabilia berupa sisasisa benda yang hangus karena akibat wedus gembel sebutan awan panas gunung merapi dan terakhir basahbasahan off road di kali kuning supir jeep kami bernama lae situmorang yg mengaku orang batak tapi bukan kelahiran sumut dan tidak menetap di sumut masuk btl lae ini alias batak tembak langsung karena meninggalkan sumut tidak lewat medan begitu kata alm nanu warkop secara hiburan sangat menyenangkan berpetualang dengan jeepjeep tua ini kabarnya ada  komunitas jeep di merapi ini dan ada sekitar  an jeep mungkin yg perlu diperhatikan adalah kepada pengelola untuk lebih baik dalam mengatur tata kelola parkir dan pergerakan orang yg turun dari jeep untuk melihatlihat obyek yg diinginkan masih terkesan semrawut karena antara jumlah jeep dan areal pakir yg tidak memadai"
"7","Lava tour nya ciamik",4,"dua kali ikut lava tourwow keren seru apalagi kalau rame sm temen pokok kalau rombongan jgn lupa ikut lava tour ini dech"
"8","Lavatour",5,"gunung berapi paling aktif di indonesia kita bisa menikmati keindahanya dg lavatour menyewa jeep buat explorer sekitar kaki gunung jika hendak lihat keindahanya cobalah kunjungi keteppass"
"9","Mountain",4,"paling enak ke merapi pas mash pagi udaranya masih segarpulangnya jangan lupa mampir sarapan ke kopi klotok"
"10","menikmati merapi dan melihat dekat erupsi merapi",4,"menikmati gunung merapi dengan berbagi aktivitas bisa melihat di gardu pandang sambil menikmati jadah tempe dan tongseng kelinciatau bisa melakukan offroad ringan dengan berbagai jarak dan harga berbeda juga"
"11","Gunung Aktif di Jogjakarta",5,"merapi salah satu gunung aktif yang ada di pulau jawa ini memberikan cerita tersendiri setelah kejadian musibah erupsi tahun  silam gunung ini sering dikunjungi oleh wisatawan"
"12","pengalaman off road d merapi",4,"penasaran dengan tour ini kami akhirnya mencoba melalui salah satu operator tour yang banyak betebaran di sekitar lokasi sebaiknya anda mencari yang profesional tanyakan langsung kepastian harganya jangan percaya dengan yang tercantum di website meskipun disana mereka menyertakan harga paketnya karena ketika saya pesan online mereka langsung merubah paket secara sepihak sehingga mestinya kami bayar rb utk short trip jadinya rb utk  jam duduk di depan lebih baik buat yang punya masalah dengan punggung atau yang sudah berumur tidak disarankan jika anda punya masalah serius dengan punggung karena jalan nya benar terjal dan berguncang masker wajib pakai karena debu demikian juga helm karena perjalanan berisiko akan ada juru foto yang mengikuti anda dan akan menjual hasil cetakan ketika tour berakhir sangat khas tempat wisata mengapa mereka tidak mencoba menjual dalam bentuk cd berisi file foto dibanding menjual dalam bentuk cetakan toh akan terbuang jika tidak dibeli pengalaman seru tapi untuk mencoba lagi mungkin tidak"
"13","Kopi Merapi",5,"menikmati sejuknya merapi di saat hujan gerimis dengan menikmati sajian kopi merapi dan pisang gorengnya bersama keluarga sungguh luar biasa dan ngangeniningin kesana lagi karena pemandangannya bagus dan lokasi warung kopinya ada di sekitar puncak merapi yang dikelilingi beberapa tempat wisata yang wajib dikunjungi terutama stonehenge merapi yg instagramable"
"14","Lava Tour Merapi",5,"orang bilang belum lengkap kalo ke jogja tapi belum ke merapi jadilah kami langsung meluncur ke kaliurang mencari sewa jeep untuk ikut lava tour kami sampai di sebuah tempat sewa jeep sekitar jam  tapi kata pemiliknya semua jeep full untuk pagi baru ada lagi jam  memang saat itu lagi musim liburan jadi di manamana persewaan jeep penuh jadi baiknya kalo temanteman sudah punya rencana kunjungan yang jelas bisa book dari sebelumnya biar dapat jadwal sesuai yg diinginkan ya sudah daripada ribet nyari lagi kami langsung book untuk jam tsb di sini ditawarkan beberapa paket paket  sd  setiap paket dibedakan dg jumlah tempat yang akan dikunjungi harga mulai dari rb untuk mini short trip sd rb untuk long trip kami waktu itu ambil paket  dg harga rb dan jumlah tempat yg dikunjungi ada  setiap jeep maksimal diisi  orang jeep akan mengantarkan kita ke tempat kunjungan melewati jalan berbatu di setiap tempat kita singgah dan diberi waktu untuk berfoto perjalanan diakhiri dg basahan di kalikuning dingiin tapi seruu bgt bagi yang mau berkunjung ke jogja harus coba pengalaman satu ini d"
"15","Merapi oh merapi",5,"mengunjungi jogja kurang lengkap kalau tidak berpetualang ke merapi dengan menggunakan jip wilys seru dan mengesankansekalian berkunjung ke rumah mbah maridjanmerasakan betapa ganasnya merapi ketika menerjang pemukiman pendudukmerapi tetap dihati"
