judul,review,rating
gunung legendaris di yogya,"ada beberapa cara menikmati keindahan gunung merapi tanpa harus mendakinya. bisa melalui beberapa spot di hotel sekitar sleman, antara lain di hotel hyaat yang menyediakan tempat foto dengan latar belakang gunung merapi. cara lain adalah mengikuti tour gunung merapi, ini bisa melihat keindahan gunung lebih dekat, apalagi jika udara cerah dan tidak tertutup awan. cantik sekali",5
Offroad kaliurang,Jujur baru pertama kali banget ngerasain offroad kaliurang dengan jeep...perjalanan nga luaaat biasa kereen...tapi sayang pas kesana lokasi bunker kaliadem dan petilasan mbah marijan sedang di tutup karena status merapi yang waspada,5
Merapi tak oernah ingkar janji,Kuliah dijogja sering naek gunung Merapi banyak kenangan yg tertinggal bersama temen temen kuliah.datang kesini untuk liburan bersama anak ke Kinahrejo dan Bebeng  kaliadem.rindu rindu pokoknya ngangenin banget,5
Wong deso jalan²,"Perjalanan ini bagaikan sinetron  ,slalu mangisah kan cerita yang dalam hidup,tetap semangat mejalani hidup.apapung yang terjadi terjadilah",4
Kampung Indian Kediri,"Pertama berkunjung dibawah kaki gunung Kelud Kab Kediri, terdapat kampung yang disebut kampung Indian. Di sana kalian bisa menemukan baju dan identitas suku Indian. Berada dikawasan bukit gunung Kelud dengan udara yang sejuk menambah suasana alam yang indah.",4
GUNUNGE MBAH MARIJAN,"Jika ingat gunung merapi, maka kita pasti akan mengingat Almarhum mbah Marijan. Mbah Marijan adalah juru kunci Gunung Merapi yang sampai akhir hayatnya mengabdi kepada sang Gunung. Almarhum ditemukan setelah kejadian letusan di tahun 2010 yang sangat mengguncang Yogyakarta, dimana abunya sampai mengguyur kota Ngayugyokarto Hadiningrat. Kondisi ybs ditemukan dalam posisi bersujud, semoga Almarhum husnul khatimah. Ketika berwisata di gunung merapi kami sekeluarga berpetualang dengan mobil Jiep untuk off road. Wisata ini dapat memilih beberapa paket, kami mengambil paket shot trip dengan biaya Rp.400 ribu. Ada 4 obyek yg dikunjungi yaitu : melihat kediaman Mbah Marijan, melihat batu Alien, mengunjungi semacam museum yg menyimpan memorabilia berupa sisa-sisa benda yang hangus karena akibat ""wedus gembel"" sebutan awan panas gunung Merapi, dan terakhir basah-basahan off road di kali kuning. Supir jeep kami bernama Lae Situmorang yg mengaku orang Batak tapi bukan kelahiran Sumut dan tidak menetap di Sumut. Masuk BTL Lae ini alias Batak Tembak Langsung karena meninggalkan Sumut tidak lewat Medan begitu kata Alm Nanu Warkop. Secara hiburan sangat menyenangkan berpetualang dengan jeep-jeep tua ini. Kabarnya ada 29 komunitas jeep di Merapi ini dan ada sekitar 920 an jeep. Mungkin yg perlu diperhatikan adalah kepada pengelola untuk lebih baik dalam mengatur tata kelola parkir dan pergerakan orang yg turun dari jeep untuk melihat-lihat obyek yg diinginkan. Masih terkesan semrawut, karena antara jumlah jeep dan areal pakir yg tidak memadai. ",4
Lava tour nya ciamik,Dua kali ikut lava tour....wow keren. Seru apalagi kalau rame2 sm temen2. Pokok kalau rombongan jgn lupa ikut lava tour ini dech....,4
Lavatour,"Gunung berapi paling aktif di indonesia, kita bisa menikmati keindahanya dg lavatour, menyewa jeep buat explorer sekitar kaki gunung, jika hendak lihat keindahanya cobalah kunjungi keteppass.",5
Mountain,"paling enak ke merapi pas mash pagi, udaranya masih segar..pulangnya jangan lupa mampir sarapan ke kopi klotok..",4
menikmati merapi dan melihat dekat erupsi merapi,menikmati gunung merapi dengan berbagi aktivitas.. bisa melihat di gardu pandang sambil menikmati jadah tempe dan tongseng kelinci..atau bisa melakukan offroad ringan dengan berbagai jarak dan harga berbeda juga,4
Gunung Aktif di Jogjakarta,"Merapi, salah satu gunung aktif yang ada di Pulau Jawa ini memberikan cerita tersendiri. Setelah kejadian musibah erupsi tahun 2010 silam, gunung ini sering dikunjungi oleh wisatawan.",5
pengalaman off road d merapi,"penasaran dengan tour ini, kami akhirnya mencoba melalui salah satu operator tour yang banyak betebaran di sekitar lokasi. Sebaiknya anda mencari yang profesional. Tanyakan langsung kepastian harganya, jangan percaya dengan yang tercantum di website meskipun disana mereka menyertakan harga paketnya. Karena ketika saya pesan online, mereka langsung merubah paket secara sepihak sehingga mestinya kami bayar 250rb utk short trip, jadinya 350rb utk 1,5 jam. Duduk di depan lebih baik buat yang punya masalah dengan punggung atau yang sudah berumur. Tidak disarankan jika anda punya masalah serius dengan punggung karena jalan nya benar2 terjal dan berguncang2. Masker wajib pakai karena debu, demikian juga helm karena perjalanan berisiko. Akan ada juru foto yang mengikuti anda dan akan menjual hasil cetakan ketika tour berakhir. Sangat khas tempat wisata. Mengapa mereka tidak mencoba menjual dalam bentuk CD berisi file2 foto dibanding menjual dalam bentuk cetakan. Toh akan terbuang jika tidak dibeli. Pengalaman seru... tapi untuk mencoba lagi mungkin tidak.",4
Kopi Merapi,"Menikmati sejuknya merapi di saat hujan gerimis dengan menikmati sajian kopi Merapi dan pisang gorengnya bersama keluarga sungguh luar biasa dan ngangenin,Ingin kesana lagi karena pemandangannya bagus dan lokasi warung kopinya ada di sekitar puncak merapi yang dikelilingi beberapa tempat wisata yang wajib dikunjungi terutama Stonehenge Merapi yg instagramable",5
Lava Tour Merapi,"Orang bilang belum lengkap kalo ke Jogja tapi belum ke Merapi. Jadilah kami langsung meluncur ke Kaliurang, mencari sewa jeep untuk ikut Lava Tour. Kami sampai di sebuah tempat sewa jeep sekitar jam 8.30. Tapi kata pemiliknya semua jeep full untuk pagi, baru ada lagi jam 13.00. memang saat itu lagi musim liburan, jadi di mana-mana persewaan jeep penuh. Jadi baiknya kalo teman-teman sudah punya rencana kunjungan yang jelas, bisa book dari sebelumnya, biar dapat jadwal sesuai yg diinginkan. Ya sudah daripada ribet nyari2 lagi, kami langsung book untuk jam tsb. Di sini ditawarkan beberapa paket, Paket 1 s.d 6. Setiap paket dibedakan dg jumlah tempat yang akan dikunjungi. Harga mulai dari 350rb untuk mini short trip s.d 900rb untuk long trip. Kami waktu itu ambil Paket 4 dg harga 600rb dan jumlah tempat yg dikunjungi ada 7. Setiap jeep maksimal diisi 4 orang. Jeep akan mengantarkan kita ke tempat kunjungan melewati jalan2 berbatu. Di setiap tempat kita singgah dan diberi waktu untuk berfoto2. Perjalanan diakhiri dg basah2an di kalikuning. Dingiin tapi Seruu bgt. Bagi yang mau berkunjung ke Jogja harus coba pengalaman satu ini :D",5
Merapi oh merapi,Mengunjungi jogja kurang lengkap kalau tidak berpetualang ke merapi dengan menggunakan jip wilys. Seru dan mengesankan.Sekalian berkunjung ke rumah mbah maridjan.Merasakan betapa ganasnya merapi ketika menerjang pemukiman penduduk.Merapi tetap dihati.,5
Terimakasih Maha Pencipta Alam,"Bagi kamu yang mau melihat gunung merapi, keindahannya bisa kamu lihat setelah waktu sunrise antara pukul 8 pagi hingga 10 pagi, namun juga melihat cuaca. Biasanya setelah jam 10 merapi akan tertutup kabut yang lumayan tebal.",5
Adventure Trip,Menjelajah merapi dari Kaliadem dan mengexplore bunker perlindungan dari awan panas yang terdapat disana,3
Suka naik gunung? Coba Tektok di merapi,Naik merapi bisa dilakukan dalam sekali jalan. Salah satu jalur pendakian di  New Selo menawarkan jalur pendakian yang lebih landai sehingga biasa dilakukan tektok atau sekali jalan. Dari basecamp barameru kita bisa berangkat pukul 2 dinihari untuk bisa menikmati sunrise di puncak merapi.  Sekitar pukul 6 pagi sudah bisa kembali turun.,4
Ikon kota yogya,Ini merupakan gunung terkenal di daerah yogyakarta dan sepertinya masih aktif. View disekitarnya juga bagus. Semburan liar dari larva yang pernah terjadi ternyata menjadi berkah dengan kemasan wisata larva tour. Wisata ini menggunakan jrep touring dengan menyusuri area semburan larva yang pernah terjadi. Ini menjadi pengalaman wisata yang menyenangkan buat saya,4
Kunjungan kedua,"Ini kunjungan kedua sy, soalnya yg pertama,  awal november 2017 puncak merapi tertutup awan, skr pertengahan april 2019 puncak merapi jelas terlihat, walaupun kedatanganku disambut awan yg kluar dr kawah, tp ga berlangsung lama, view tetep dr bukit klangon, tetep gratis, minusnya bambu gardu pandang udh ga layak injak",5
Wisata Gunung Merapi,Gunung teraktif di dunia. Sangat indah. Bagus untuk dikunjungi. Pada saat tertentu akan ditutup bagi wisatawan.,5
Tempat menarik untuk dikunjungi,"Gunung merapi aralah salah satu tempat menarik yang patut dikunjungi. Saat itu saya menggunakan jeep atau lavatour merapi. Banyak destinasi wisata disana mulai dari sejarah gunung merapi, barang barang sisa letusan gunung dan ada banker tempat dimana jika masyarakat melindungi diri saat merapi meletus. Jadi ini adalah tempat wisata yang cocok untuk kita mengenal sejarah sehingga dapat liburan sambil belajar sejarah dan berfoto-foto. Harus datang kesini yaa dijamin ini sangar asik.",5
Berwisata ke Gunung Merapi Yogyakarta,Disini kita dapat melihat napak tilas sejarah dari letusan Gunung Merapi serta melihat peninggalan harta benda dari masyarakat yang terkena dampak erupsi gunung merapi. Sangat mendidik bagi wisatawan yang berkunjung ke tempat ini dan cukup bersahabat tour guide/pemandu wisata dalam memandu para pengunjung. Ada juga tempat yang bisa dikunjungi seperti bungker kali adem dan museum sisa hartaku.,4
Liburan Keluarga,"Tersedia paket lava tour di Merapi harga mulai dari IDR 350K. Kamu bisa menyewa jeep untuk menelusuri wisata merapi seperti di Bunker Kali Adem, Museum Sisa Hartaku dan lainnya. Untuk transport ke Merapi jika kamu tak membawa kendaraan pribadi, kamu bisa menghubungi saya atau search di Google: AVILO Transport.",4
Tips Wisata Merapi,"Ini adalah pilihan wisata yang menarik. Jika memutuskan untuk touring dengan Jeep, siapkan masker jika musim kemarau dan siapkan baju ganti jika hujan. Baju ganti tetap diperlukan jika mengambil long trek yang akan dibawa melewati genangan2 air.Selamat menikmati keindahan Merapi dan keseruan jelajah dengan Jeep.",4
Merapi Istimewa,Merapi sedang sensitif.. indah dipandang dari jauh bahaya saat berdekatan 😂 keep on safety guys.. God bless merapi.,5
Bermain,Gunungnya bagus waktu pagi hari. Kita bisa menyewa jeep dam ikut tripnya. Banyak sekali tempat wisata yang ada,5
WISATA GUNUNG MERAPI YG ASYIK,Gak lengkap kalau kejogja tidak berkunjung ke gunung merapi. Tempatnya adem. Kami mengunjungi bungker merapi dan npak tilas rumah alm.mbh marijan. Ada beberapa post untuk membayar biaya masuk.,5
The mountain keeps a million memories and history,"Masa dtg ke sni akan ada 3@4 point kalau xsilap. Stiap point yg kita akan sggah memberikan permandangan dan cerita yg berbeza2. Kita jga blh tahu tntang sejarah di sana. Trdapat byk korban nyawa mahupun harta benda. Apa yg plg mnyedihkan bila nmpak sendiri secara langsung gmbar2 dan brg2 yg musnah. Dtg lah kesini kalau dah smpai Jogja, pasti seronok. Naik Jeep tau, abg2 driver @ tour and guide pun best2. Sporting. Tlg mbikkan gambar lagi. Masa saya ngan kawan dtg sni, Mas Parjo yg guide kitaorang. Sgt2 baik, peramah dan sporting. Terima Kasih #teamEnjoyYourHoliday sbb sntiasa mmberikan yg terbaik utk kami. The best TOUR AND GUIDE EVER",5
Napak Tilas Sejarah,"Ke jogja tidak lengkap bila belum kesini, karena bisa menapak tilas sejarah tentang meletusnya gunung merapai dan mengenal sosok mbah marijan. Bila beruntung dapat bertemu dengan istri dari mbah marijan.",5
Perjalan seru,Merapi wajib dikunjungi karena disamping mengenang kilas balik peristiwa merapi juga ada wahana baru yaitu merapi park cocok utk yg membawa anak kecil seperti kami..kebetulan kami menggunakan jasa lava tour merapi perjalan kami semakin seru mengunakan jeep yg sopirnya sangat ramah dalam memandu kami dan menjelaskan dgn detail satu persatu tempat yg kami kunjungi oh ya sopirnya juga merangkap sebagai fotografer serta pengarah gaya juga loh..trimakasih lava tour mantap dlm pelayanan,5
Merapi Lava Tour,"Bagi Anda yang menyukai adventure, Anda bisa mencoba merapi lava tour. Ada beberapa durasi waktu yang ditawarkan. Kemarin kami mengambil paket medium ( Rp 450.000/ jeep, yg bisa muat sekitar 4 orang ).  Meliputi daerah bunker, batu alien, museum merapi, dan sungai. Perjalanan dengan medan yang menantang, sambil disuguhkan pemandangan yang indah. Di museum merapi, kita bs melihat rumah serta perabotan juga kendaraan dan tulang2 hewan yang terkena erupsi merapi.Terdapat pula kios2 yang menjual souvenir, dan kedai makan.",5
Wisata alam yang menakjubkan,Lava tour yang seru melintasi tempat2 terdampak letusan merapi beberapa waktu lalu. Banyak kisah pilu bisa kita dapatkan dari driver yang mengantarkan kita ke tempat2 yang pernah dilanda bencana letusan merapi. Dengan mengendarai jeep hardtop menjadikan pengalaman ini menjadi semakin seru. Sayang sunrise tidak nampak karena cuaca mendung. Kalo mau kesini sebaiknya setelah subuh atau sekitar jam setengan enam supaya bisa merasakab sejuknya daerah sekitar,5
Lautan awannya keren,"Ini merupakan gunung di Jawa Tengah yang pertama kali didaki. Treknya bisa untuk pemula. Dihimbau agar mendaki hanya sampai Pasar Bubrah, tidak untuk sampai ke puncak walaupun kenyataannya banyak juga yang mendaki sampai puncak.",4
Jeep Gunung Merapi,"Bulan juli lalu mencoba untuk ke merapi dgn menyewa jeep. Cukup banyak dapat ditemui penyewaan jeep. Perjalanan berbatu dan berdebu, tapi memang sangat indah, anak balita saya sangat menikmati perjalanan kami.",5
Gunung Merapi,"Ini merupakan pertama kali pengalaman melihat laluan larva gunung berapi dan melihat bahan dan kesan tinggalan akibat dari letusan tersebut. Mengikut apa yang diceritakan.. Penduduk di kampung tersebut telah diarahkan untuk berpindah, namun ada yang engkar kerana biasanya letusan larva tidak lebih dari 10km...namun yang terjadi pada tahun 2010 lebih dari 10km..maka penduduk kampung tersebut tidka sempat menyelamatkan diri..",5
