"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","menikmati",0,0,0,0,0,0,0,0,0,0
"2","keindahan",0,0,0,0,0,0,0,0,0,0
"3","gunung",0,0,0,0,0,0,0,0,0,0
"4","merapi",0,0,0,0,0,0,0,0,0,0
"5","mendakinya",0,0,0,0,0,0,0,0,0,0
"6","spot",0,0,0,0,0,0,0,0,0,0
"7","hotel",0,0,0,0,0,0,0,0,0,0
"8","sleman",0,0,0,0,0,0,0,0,0,0
"9","hotel",0,0,0,0,0,0,0,0,0,0
"10","hyaat",0,0,0,0,0,0,0,0,0,0
"11","menyediakan",0,0,0,0,0,0,0,0,0,0
"12","foto",0,0,0,0,0,0,0,0,0,0
"13","latar",0,0,0,0,0,0,0,0,0,0
"14","gunung",0,0,0,0,0,0,0,0,0,0
"15","merapi",0,0,0,0,0,0,0,0,0,0
"16","mengikuti",0,0,0,0,0,0,0,0,0,0
"17","tour",0,0,0,0,0,0,0,0,0,0
"18","gunung",0,0,0,0,0,0,0,0,0,0
"19","merapi",0,0,0,0,0,0,0,0,0,0
"20","keindahan",0,0,0,0,0,0,0,0,0,0
"21","gunung",0,0,0,0,0,0,0,0,0,0
"22","udara",0,0,0,0,0,0,0,0,0,0
"23","cerah",0,0,0,0,0,0,0,0,0,0
"24","tertutup",0,0,0,0,0,0,0,0,0,0
"25","awan",0,0,0,0,0,0,0,0,0,0
"26","cantik",0,0,0,0,0,0,0,0,0,0
"27","jujur",0,0,0,0,0,0,0,0,0,0
"28","kali",0,0,0,0,0,0,0,0,0,0
"29","banget",0,0,0,0,0,0,0,0,0,0
"30","ngerasain",0,0,0,0,0,0,0,0,0,0
"31","offroad",0,0,0,0,0,0,0,0,0,0
"32","kaliurang",0,0,0,0,0,0,0,0,0,0
"33","jeepperjalanan",0,0,0,0,0,0,0,0,0,0
"34","nga",0,0,0,0,0,0,0,0,0,0
"35","luaaat",0,0,0,0,0,0,0,0,0,0
"36","kereentapi",0,0,0,0,0,0,0,0,0,0
"37","sayang",0,0,0,0,0,0,0,0,0,0
"38","pas",0,0,0,0,0,0,0,0,0,0
"39","kesana",0,0,0,0,0,0,0,0,0,0
"40","lokasi",0,0,0,0,0,0,0,0,0,0
"41","bunker",0,0,0,1,0,0,0,0,0,0
"42","kaliadem",0,0,0,0,0,0,0,0,0,0
"43","petilasan",0,0,0,0,0,0,0,0,0,0
"44","mbah",0,0,0,0,0,0,0,0,0,0
"45","marijan",0,0,0,0,0,0,0,0,0,0
"46","tutup",0,0,0,0,0,0,0,0,0,0
"47","status",0,0,0,0,0,0,0,0,0,1
"48","merapi",0,0,0,0,0,0,0,0,0,0
"49","waspada",0,0,0,0,0,0,0,0,0,0
